Place,Player,Alias,Character(s),Event Name,Year,Game Played
7th,Naoki Nemoto,Nemo,Vega,EVO 2016[],2016,Street Fighter V
1st,Hajime Taniguchi,Tokido,Akuma,EVO 2017[],2017,Street Fighter V
2nd,Victor Woodley,Punk,Karin/Nash,EVO 2017[],2017,Street Fighter V
3rd,Ryota Inoue,Kazunoko,Cammy,EVO 2017[],2017,Street Fighter V
4th,Hiromiki Kumada,Itabashi Zangief,Zangief,EVO 2017[],2017,Street Fighter V
5th,Naoki Nakayama,moke,Rashid,EVO 2017[],2017,Street Fighter V
5th,Du Dang,NuckleDu,Guile,EVO 2017[],2017,Street Fighter V
7th,Joe Egami,MOV,Chun-Li,EVO 2017[],2017,Street Fighter V
7th,Ryan Ramirez,Filipino Champ,Dhalsim,EVO 2017[],2017,Street Fighter V
1st,Hao Liu,Beesu,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
2nd,Eric K,Eric K,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike
3rd,Henri Oung,Chi-Rithy,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike
4th,Cyrox,Cyrox,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
5th,FaceNC,FaceNC,Chun-Li,EVO 2017[],2017,Street Fighter III: 3rd Strike
5th,,Shin,Makoto,EVO 2017[],2017,Street Fighter III: 3rd Strike
7th,,NastyNate,Yun,EVO 2017[],2017.Street Fighter III: 3rd Strike
7th,KaraPalm,KaraPalm,Yun,EVO 2017[],2017,Street Fighter III: 3rd Strike
1st,ElTrouble,ElTrouble,Dhalsim,EVO 2017[],2017,Super Street Fighter II Turbo
2nd,UltraCombo,UltraCombo,O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo
3rd,Myung,Myung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo
4th,DarknessITF,DarknessITF,Balrog/Vega,EVO 2017[],2017,Super Street Fighter II Turbo
5th,Ury Escarez Ferreira,URY,Balrog/O. Sagat,EVO 2017[],2017,Super Street Fighter II Turbo
5th,Bolo Yeung,Bolo Yeung,Vega,EVO 2017[],2017,Super Street Fighter II Turbo
7th,Munny,Munny,Vega/Balrog,EVO 2017[],2017,Super Street Fighter II Turbo
7th,Catie Lanier,MissingPerson,O. Chun-Li,EVO 2017[],2017,Super Street Fighter II Turbo
1st,Benjamin Simon,Problem X,M. Bison/Abigail,EVO 2018[],2018,Street Fighter V
2nd,Hajime Taniguchi,Tokido,Akuma,EVO 2018[],2018,Street Fighter V
3rd,Keita Ai,Fuudo,R. Mika,EVO 2018[],2018,Street Fighter V
4th,Tsunehiro Kanamori,gachikun,Rashid,EVO 2018[],2018,Street Fighter V
5th,Olivier Hay,Luffy,R. Mika,EVO 2018[],2018,Street Fighter V
5th,Atsushi Fujimura,Fujimura,Ibuki,EVO 2018[],2018,Street Fighter V
7th,Marcus Redmond,THE COOL KID93,Abigail,EVO 2018[],2018,Street Fighter V
7th,Cristopher Rodriguez,Caba,Guile,EVO 2018[],2018,Street Fighter V
1st,Bryant Huggins,Smug,Dudley,EVO 2018[],2018,Ultra Street Fighter IV
2nd,Lee Chung-gon,Poongko,Seth,EVO 2018[],2018,Ultra Street Fighter IV
3rd,Brentt Franks,Brenttiscool,Rufus,EVO 2018[],2018,Ultra Street Fighter IV
4th,Iansanity,Iansanity,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV
5th,Sanford Kelly,Sanford Kelly,Sagat,EVO 2018[],2018,Ultra Street Fighter IV
5th,Valentin Petit,Valmaster,Chun-Li,EVO 2018[],2018,Ultra Street Fighter IV
7th,CastBlanka,CastBlanka,Blanka,EVO 2018[],2018,Ultra Street Fighter IV
7th,Arrow,Arrow,E. Honda,EVO 2018[],2018,Ultra Street Fighter IV
1st,Ryan,Ryan,Ken,EVO 2018[],2018,Street Fighter III: 3rd Strike
2nd,FMJ,FMJ,,EVO 2018[],2018,Street Fighter III: 3rd Strike
3rd,Amir Amirsaleh,AmirXL,Chun-Li,EVO 2018[],2018,Street Fighter III: 3rd Strike
4th,Hao Liu,Beesu,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike
5th,Cookye,Cookye,Elena,EVO 2018[],2018,Street Fighter III: 3rd Strike
5th,Hungbee,Hungbee,Oro,EVO 2018[],2018,Street Fighter III: 3rd Strike
7th,Mexi,Mexi,Yun,EVO 2018[],2018,Street Fighter III: 3rd Strike
7th,FaceTX,FaceTX,Dudley,EVO 2018[],2018,Street Fighter III: 3rd Strike
1st,RenoMD,RenoMD,M. Bison,EVO 2018[],2018,Super Street Fighter II Turbo
2nd,Tomo,Tomo,Ryu/Balrog,EVO 2018[],2018,Super Street Fighter II Turbo
